Op-Type,Sample-Type,Op-Count,Byte-Count,Avg-ResTime,Avg-ProcTime,Throughput,Bandwidth,Succ-Ratio
read,read,46,2944000000,1801.83,744.98,0.24,15104252.18,100%
write,write,31,1984000000,3613.65,1594.06,0.16,10178952.55,100%
read,read,39,2496000000,1699.23,688.05,0.2,12593022.38,100%
write,write,39,2496000000,3382.85,1462.36,0.2,12593022.38,100%
read,read,39,2496000000,1706.9,660.36,0.2,12825849.02,100%
write,write,41,2624000000,3122.66,1454.59,0.21,13483584.87,100%
read,read,37,2368000000,1792.97,740.38,0.19,11903864.23,100%
write,write,40,2560000000,3314.57,1466.67,0.2,12869042.41,100%
read,read,36,2304000000,1760.94,677.08,0.18,11607228.32,100%
write,write,43,2752000000,3141.79,1529.6,0.22,13864189.38,100%
read,read,45,2880000000,1709.4,657.49,0.23,14427195.26,100%
write,write,37,2368000000,3316.08,1435.54,0.19,11862360.55,100%
read,read,51,3264000000,1765.76,691.92,0.26,16442330.94,100%
write,write,30,1920000000,3615.07,1758.33,0.15,9671959.38,100%
read,read,38,2432000000,1818.58,731.05,0.19,12218895.07,100%
write,write,39,2496000000,3331.36,1487.95,0.2,12540444.94,100%
read,read,43,2752000000,1878.7,745.35,0.22,13801819.51,100%
write,write,35,2240000000,3388.71,1686.57,0.18,11234039.14,100%
read,read,34,2176000000,1768.35,657.71,0.17,10997786.29,100%
write,write,40,2560000000,3443.12,1574.1,0.2,12938572.11,100%
read,read,44,2816000000,1741.27,695,0.22,14342248,100%
write,write,37,2368000000,3235.73,1461.73,0.19,12060526.73,100%
read,read,48,3072000000,1716.38,658.88,0.24,15430749.99,100%
write,write,34,2176000000,3432.09,1554.44,0.17,10930114.58,100%
read,read,43,2752000000,1749.65,757.7,0.22,13899762.11,100%
write,write,39,2496000000,3147.38,1312,0.2,12606760.98,100%
read,read,38,2432000000,1748.66,706.45,0.19,12226204.9,100%
write,write,41,2624000000,3230.78,1544.66,0.21,13191431.6,100%
read,read,43,2752000000,1780.49,708.67,0.22,13807705.62,100%
write,write,38,2432000000,3229.97,1539.21,0.19,12202158.46,100%
read,read,35,2240000000,1759.2,779.91,0.18,11239676.06,100%
write,write,42,2688000000,3278.9,1524,0.21,13487611.27,100%
read,read,50,3200000000,1847.32,766.1,0.25,16099980.88,100%
write,write,30,1920000000,3546.23,1710.93,0.15,9659988.53,100%
read,read,42,2688000000,1849.02,755.88,0.21,13503330.62,100%
write,write,39,2496000000,3112.72,1464.64,0.2,12538807,100%
read,read,29,1856000000,1748.1,696.34,0.15,9545213.76,100%
write,write,46,2944000000,3124.83,1506.04,0.24,15140683.9,100%
read,read,37,2368000000,1792.97,693.16,0.19,11897464.75,100%
write,write,38,2432000000,3491.82,1585.29,0.19,12219017.86,100%
read,read,39,2496000000,1703.46,706.33,0.2,12552553.76,100%
write,write,40,2560000000,3310,1497.35,0.2,12874414.11,100%
read,read,24,1536000000,1583.46,599.75,0.12,7684726.11,100%
write,write,52,3328000000,3112.87,1543.71,0.26,16650239.9,100%
read,read,45,2880000000,1674.31,671.93,0.23,14528504.62,100%
write,write,39,2496000000,3150.82,1322.49,0.2,12591370.67,100%
read,read,43,2752000000,1741.26,692.21,0.22,13824838.49,100%
write,write,36,2304000000,3449.47,1559.5,0.18,11574283.39,100%
read,read,42,2688000000,1824.05,744.64,0.21,13544154.55,100%
write,write,36,2304000000,3384.64,1634.08,0.18,11609275.33,100%
read,read,35,2240000000,1806.63,729.29,0.18,11548475.24,100%
write,write,40,2560000000,3268.12,1553.58,0.21,13198257.42,100%
read,read,42,2688000000,1595.81,587.69,0.21,13578912.27,100%
write,write,38,2432000000,3445.32,1618.58,0.19,12285682.53,100%
read,read,44,2816000000,1836.86,759.89,0.22,14161428.21,100%
write,write,36,2304000000,3278.28,1543.75,0.18,11586623.08,100%
read,read,35,2240000000,1785.54,722.06,0.18,11520618.82,100%
write,write,39,2496000000,3382.92,1510.23,0.2,12837260.97,100%
read,read,37,2368000000,1685.84,662.3,0.19,11953920.87,100%
write,write,42,2688000000,3231.26,1572.26,0.21,13569315.58,100%
read,read,47,3008000000,1783.11,717.23,0.24,15170772.06,100%
write,write,34,2176000000,3366.38,1609.06,0.17,10974601.06,100%
read,read,37,2368000000,1773.05,706.62,0.19,11896388.88,100%
write,write,39,2496000000,3421.64,1579.21,0.2,12539436.93,100%
read,read,38,2432000000,1852.08,728.68,0.19,12254111.58,100%
write,write,40,2560000000,3201.97,1393.77,0.2,12899064.82,100%
read,read,40,2560000000,1862.83,686.65,0.2,12949829.53,100%
write,write,36,2304000000,3421.28,1548.08,0.18,11654846.57,100%
read,read,36,2304000000,1756.11,655.31,0.19,11878247.96,100%
write,write,39,2496000000,3352.38,1519.82,0.2,12868101.95,100%
